# Paper classes generated at the trusted tier.
# Written by the generator. The runtime authorises against this
# by exact name, so a class merely sharing a simple name with one
# of these is not one of these.
#
# One line per type: the Paper class, a tab, and the Aussom class
# it is reachable as. The two differ where Paper reuses a simple
# name, since Aussom has no packages. Both columns come from the
# same map the modules were named from, so the manifest cannot
# disagree with what was written.
com.destroystokyo.paper.MaterialSetTag	MaterialSetTag
com.destroystokyo.paper.Namespaced	Namespaced
com.destroystokyo.paper.NamespacedTag	NamespacedTag
com.destroystokyo.paper.ParticleBuilder	ParticleBuilder
com.destroystokyo.paper.SkinParts	SkinParts
com.destroystokyo.paper.Title	Title
com.destroystokyo.paper.block.BlockSoundGroup	BlockSoundGroup
com.destroystokyo.paper.block.TargetBlockInfo	TargetBlockInfo
com.destroystokyo.paper.brigadier.BukkitBrigadierCommand	BukkitBrigadierCommand
com.destroystokyo.paper.brigadier.BukkitBrigadierCommandSource	BukkitBrigadierCommandSource
com.destroystokyo.paper.entity.Pathfinder	Pathfinder
com.destroystokyo.paper.entity.RangedEntity	RangedEntity
com.destroystokyo.paper.entity.TargetEntityInfo	TargetEntityInfo
com.destroystokyo.paper.entity.ai.Goal	Goal
com.destroystokyo.paper.entity.ai.GoalKey	GoalKey
com.destroystokyo.paper.entity.ai.GoalType	GoalType
com.destroystokyo.paper.entity.ai.MobGoals	MobGoals
com.destroystokyo.paper.entity.ai.VanillaGoal	VanillaGoal
com.destroystokyo.paper.entity.villager.Reputation	Reputation
com.destroystokyo.paper.entity.villager.ReputationType	ReputationType
com.destroystokyo.paper.event.block.AnvilDamagedEvent	AnvilDamagedEvent
com.destroystokyo.paper.event.block.BeaconEffectEvent	BeaconEffectEvent
com.destroystokyo.paper.event.block.BlockDestroyEvent	BlockDestroyEvent
com.destroystokyo.paper.event.block.TNTPrimeEvent	BlockTNTPrimeEvent
com.destroystokyo.paper.event.brigadier.AsyncPlayerSendCommandsEvent	AsyncPlayerSendCommandsEvent
com.destroystokyo.paper.event.brigadier.AsyncPlayerSendSuggestionsEvent	AsyncPlayerSendSuggestionsEvent
com.destroystokyo.paper.event.brigadier.CommandRegisteredEvent	CommandRegisteredEvent
com.destroystokyo.paper.event.entity.CreeperIgniteEvent	CreeperIgniteEvent
com.destroystokyo.paper.event.entity.EnderDragonFireballHitEvent	EnderDragonFireballHitEvent
com.destroystokyo.paper.event.entity.EnderDragonFlameEvent	EnderDragonFlameEvent
com.destroystokyo.paper.event.entity.EnderDragonShootFireballEvent	EnderDragonShootFireballEvent
com.destroystokyo.paper.event.entity.EndermanAttackPlayerEvent	EndermanAttackPlayerEvent
com.destroystokyo.paper.event.entity.EndermanEscapeEvent	EndermanEscapeEvent
com.destroystokyo.paper.event.entity.EntityAddToWorldEvent	EntityAddToWorldEvent
com.destroystokyo.paper.event.entity.EntityJumpEvent	EntityJumpEvent
com.destroystokyo.paper.event.entity.EntityKnockbackByEntityEvent	EntityEntityKnockbackByEntityEvent
com.destroystokyo.paper.event.entity.EntityPathfindEvent	EntityPathfindEvent
com.destroystokyo.paper.event.entity.EntityRemoveFromWorldEvent	EntityRemoveFromWorldEvent
com.destroystokyo.paper.event.entity.EntityTeleportEndGatewayEvent	EntityTeleportEndGatewayEvent
com.destroystokyo.paper.event.entity.EntityZapEvent	EntityZapEvent
com.destroystokyo.paper.event.entity.ExperienceOrbMergeEvent	ExperienceOrbMergeEvent
com.destroystokyo.paper.event.entity.PhantomPreSpawnEvent	PhantomPreSpawnEvent
com.destroystokyo.paper.event.entity.PlayerNaturallySpawnCreaturesEvent	PlayerNaturallySpawnCreaturesEvent
com.destroystokyo.paper.event.entity.PreCreatureSpawnEvent	PreCreatureSpawnEvent
com.destroystokyo.paper.event.entity.PreSpawnerSpawnEvent	PreSpawnerSpawnEvent
com.destroystokyo.paper.event.entity.ProjectileCollideEvent	ProjectileCollideEvent
com.destroystokyo.paper.event.entity.SkeletonHorseTrapEvent	SkeletonHorseTrapEvent
com.destroystokyo.paper.event.entity.SlimeChangeDirectionEvent	SlimeChangeDirectionEvent
com.destroystokyo.paper.event.entity.SlimePathfindEvent	SlimePathfindEvent
com.destroystokyo.paper.event.entity.SlimeSwimEvent	SlimeSwimEvent
com.destroystokyo.paper.event.entity.SlimeTargetLivingEntityEvent	SlimeTargetLivingEntityEvent
com.destroystokyo.paper.event.entity.SlimeWanderEvent	SlimeWanderEvent
com.destroystokyo.paper.event.entity.ThrownEggHatchEvent	ThrownEggHatchEvent
com.destroystokyo.paper.event.entity.TurtleGoHomeEvent	TurtleGoHomeEvent
com.destroystokyo.paper.event.entity.TurtleLayEggEvent	TurtleLayEggEvent
com.destroystokyo.paper.event.entity.TurtleStartDiggingEvent	TurtleStartDiggingEvent
com.destroystokyo.paper.event.entity.WitchConsumePotionEvent	WitchConsumePotionEvent
com.destroystokyo.paper.event.entity.WitchReadyPotionEvent	WitchReadyPotionEvent
com.destroystokyo.paper.event.entity.WitchThrowPotionEvent	WitchThrowPotionEvent
com.destroystokyo.paper.event.inventory.PrepareGrindstoneEvent	InventoryPrepareGrindstoneEvent
com.destroystokyo.paper.event.inventory.PrepareResultEvent	PrepareResultEvent
com.destroystokyo.paper.event.player.IllegalPacketEvent	IllegalPacketEvent
com.destroystokyo.paper.event.player.PlayerAdvancementCriterionGrantEvent	PlayerAdvancementCriterionGrantEvent
com.destroystokyo.paper.event.player.PlayerArmorChangeEvent	PlayerArmorChangeEvent
com.destroystokyo.paper.event.player.PlayerAttackEntityCooldownResetEvent	PlayerAttackEntityCooldownResetEvent
com.destroystokyo.paper.event.player.PlayerClientOptionsChangeEvent	PlayerClientOptionsChangeEvent
com.destroystokyo.paper.event.player.PlayerConnectionCloseEvent	PlayerConnectionCloseEvent
com.destroystokyo.paper.event.player.PlayerElytraBoostEvent	PlayerElytraBoostEvent
com.destroystokyo.paper.event.player.PlayerHandshakeEvent	PlayerHandshakeEvent
com.destroystokyo.paper.event.player.PlayerJumpEvent	PlayerJumpEvent
com.destroystokyo.paper.event.player.PlayerLaunchProjectileEvent	PlayerLaunchProjectileEvent
com.destroystokyo.paper.event.player.PlayerPickupExperienceEvent	PlayerPickupExperienceEvent
com.destroystokyo.paper.event.player.PlayerPostRespawnEvent	PlayerPostRespawnEvent
com.destroystokyo.paper.event.player.PlayerReadyArrowEvent	PlayerReadyArrowEvent
com.destroystokyo.paper.event.player.PlayerRecipeBookClickEvent	PlayerPlayerRecipeBookClickEvent
com.destroystokyo.paper.event.player.PlayerSetSpawnEvent	PlayerSetSpawnEvent
com.destroystokyo.paper.event.player.PlayerStartSpectatingEntityEvent	PlayerStartSpectatingEntityEvent
com.destroystokyo.paper.event.player.PlayerStopSpectatingEntityEvent	PlayerStopSpectatingEntityEvent
com.destroystokyo.paper.event.player.PlayerTeleportEndGatewayEvent	PlayerTeleportEndGatewayEvent
com.destroystokyo.paper.event.player.PlayerUseUnknownEntityEvent	PlayerUseUnknownEntityEvent
com.destroystokyo.paper.event.profile.FillProfileEvent	FillProfileEvent
com.destroystokyo.paper.event.profile.LookupProfileEvent	LookupProfileEvent
com.destroystokyo.paper.event.profile.PreFillProfileEvent	PreFillProfileEvent
com.destroystokyo.paper.event.profile.PreLookupProfileEvent	PreLookupProfileEvent
com.destroystokyo.paper.event.profile.ProfileWhitelistVerifyEvent	ProfileWhitelistVerifyEvent
com.destroystokyo.paper.event.server.AsyncTabCompleteEvent	AsyncTabCompleteEvent
com.destroystokyo.paper.event.server.GS4QueryEvent	GS4QueryEvent
com.destroystokyo.paper.event.server.PaperServerListPingEvent	PaperServerListPingEvent
com.destroystokyo.paper.event.server.ServerExceptionEvent	ServerExceptionEvent
com.destroystokyo.paper.event.server.ServerTickEndEvent	ServerTickEndEvent
